Title,genres,spoken_languages,production_countries,byline,headline,keywords,word_count,snippet,web_url,pub_date,source
The Attachment Diaries,"Drama, Mystery, Thriller, Horror",Spanish,Argentina,,nan,,,,,,
What the Peeper Saw,"Horror, Drama, Thriller","English, Italian","Italy, United Kingdom",,nan,,,,,,
You Can Live Forever,"Drama, Romance","English, French","Canada, United States of America",,nan,,,,,,
A Tourists Guide to Love,"Romance, Comedy","English, Vietnamese",United States of America,,nan,,,,,,
Other Peoples Children,"Drama, Comedy","English, French",France,,nan,,,,,,
One True Loves,"Romance, Drama, Comedy",English,"Germany, United States of America",,nan,,,,,,
The Lost Weekend: A Love Story,Documentary,English,United States of America,,nan,,,,,,
A Thousand and One,"Drama, Crime","English, Spanish, Portuguese",United States of America,,nan,,,,,,
Your Place or Mine,"Romance, Comedy",English,United States of America,,nan,,,,,,
Love in the Time of Fentanyl,Documentary,English,"Canada, United States of America",,nan,,,,,,
"Pamela, A Love Story",Documentary,English,United States of America,,nan,,,,,,
In from the Side,"Drama, Romance",English,United Kingdom,,nan,,,,,,
Love After Love,Drama,Mandarin,China,,nan,,,,,,
Alcarràs,Drama,Catalan,Spain,,nan,,,,,,
Nelly and Monsieur Arnaud,"Drama, Romance",French,"Germany, France, Italy",,nan,,,,,,
Lady Chatterleys Lover,"Drama, Romance",French,France,,nan,,,,,,
The Sound of Christmas,"TV Movie, Drama",English,United States of America,,nan,,,,,,
The Inspection,Drama,"Arabic, Spanish, English",United States of America,,nan,,,,,,
Bones and All,"Drama, Horror, Romance",English,"Italy, United States of America",,nan,,,,,,
My Policeman,"Drama, Romance",English,"United Kingdom, United States of America",,nan,,,,,,
About Fate,"Romance, Comedy",English,United States of America,,nan,,,,,,
Waiting for Bojangles,"Drama, Comedy, Romance","French, English","France, United States of America",,nan,,,,,,
I Love My Dad,Comedy,English,United States of America,,nan,,,,,,
A Circus Story & A Love Song,"Romance, Drama","Spanish, English",Mexico,,nan,,,,,,
Alone Together,"Romance, Drama",English,United States of America,,nan,,,,,,
The Art of Love,"Romance, Comedy",French,France,,nan,,,,,,
The Third Wheel,"Comedy, Romance",English,United States of America,,nan,,,,,,
Thor: Love and Thunder,"Fantasy, Action, Comedy",English,United States of America,,nan,,,,,,
Both Sides of the Blade,"Drama, Romance",French,France,,nan,,,,,,
Fire of Love,Documentary,"English, French, Spanish, Portuguese","Canada, United States of America",,nan,,,,,,
Sweet Sex and Love,"Romance, Drama",Korean,South Korea,,nan,,,,,,
Stay Prayed Up,Documentary,,,,nan,,,,,,
Benediction,"Drama, History, War","German, English, French","United Kingdom, United States of America",,nan,,,,,,
Dinner in America,"Comedy, Drama, Music, Romance",English,United States of America,,nan,,,,,,
In a New York Minute,Drama,English,,,nan,,,,,,
Anaïs in Love,"Drama, Romance, Comedy","French, English",France,,nan,,,,,,
I Love America,"Comedy, Romance","French, English",United States of America,,nan,,,,,,
See You Up There,"Drama, Crime, War","Mandarin, French, German","Canada, France",,nan,,,,,,
"Mami, La Moula",Documentary,"Arabic, French",,,nan,,,,,,
In Love and Deep Water,"Romance, Comedy, Mystery, Thriller",Japanese,Japan,,nan,,,,,,
Lucy and Desi,Documentary,English,United States of America,,nan,,,,,,
"Cyrano, My Love","Comedy, History","French, Russian","Belgium, France",,nan,,,,,,
The In Between,"Romance, Science Fiction, Drama",English,United States of America,,nan,,,,,,
American Pie Presents: The Book of Love,Comedy,English,United States of America,,nan,,,,,,
Lingui: The Sacred Bonds,Drama,"Arabic, French","Germany, Belgium, Chad, France",,nan,,,,,,
The Pink Cloud,"Drama, Science Fiction",Portuguese,Brazil,,nan,,,,,,
A Journal for Jordan,"Drama, Romance",English,"Canada, United States of America",,nan,,,,,,
West Side Story,"Crime, Drama, Romance","Spanish, English",United States of America,,nan,,,,,,
Revenge Porn: Love Is Dead,"Drama, Thriller",Japanese,Japan,,nan,,,,,,
Love Hard,"Comedy, Romance",English,United States of America,,nan,,,,,,
Bergman Island,"Drama, Romance","German, English, Swedish","Belgium, France, Germany, Mexico, Sweden",,nan,,,,,,
Hard Luck Love Song,"Romance, Music, Drama, Thriller","English, Spanish",United States of America,,nan,,,,,,
South of Heaven,"Crime, Drama, Thriller",English,"United Kingdom, United States of America",,nan,,,,,,
Wife of a Spy,"Drama, War, Thriller","English, Japanese",Japan,,nan,,,,,,
Happier Than Ever: A Love Letter to Los Angeles,"Music, Documentary",English,United States of America,,nan,,,,,,
Trolls Band Together,"Animation, Family, Music, Fantasy, Comedy",English,"Japan, United States of America",,nan,,,,,,
Annette,"Drama, Romance","English, French","Belgium, France, Germany, Greece, Japan, Mexico, Switzerland",,nan,,,,,,
Resort to Love,"Romance, Comedy",English,United States of America,,nan,,,,,,
"Woodstock 99: Peace, Love, and Rage","Documentary, Music",English,United States of America,,nan,,,,,,
"Casanova, Last Love","Drama, Romance","English, French, German, Italian","Belgium, France, United States of America",,nan,,,,,,
Running Against the Wind,Drama,Amharic,"Ethiopia, Germany",,nan,,,,,,
Clash of Empires: The Battle for Asia,"Action, Adventure","English, Malay, Mandarin",Malaysia,,nan,,,,,,
Undine,"Fantasy, Drama, Romance","English, German, Spanish","France, Germany",,nan,,,,,,
Run This Town,Drama,"French, English",Canada,,nan,,,,,,
I Miss You,"Drama, Romance","Spanish, English","Bolivia, United States of America",,nan,,,,,,
What Happened to Monday,"Science Fiction, Thriller, Drama, Mystery, Action",English,"Belgium, Germany, France, Romania, United Kingdom",,nan,,,,,,
Ride or Die,"Drama, Romance, Thriller","English, Japanese","Japan, United States of America",,nan,,,,,,
Future People: The Family Of Donor 5114,Documentary,English,United States of America,,nan,,,,,,
The Darkness Within La Luz del Mundo,"Documentary, Crime","English, Spanish",Mexico,,nan,,,,,,
Happily Ever After,"Drama, Comedy, Romance",French,France,,nan,,,,,,
This Is the Life,"Documentary, Music",English,United States of America,,nan,,,,,,
To All the Boys: Always and Forever,"Romance, Comedy, Drama","English, Korean",United States of America,,nan,,,,,,
Young Hearts,Drama,Norwegian,Norway,,nan,,,,,,
Little Fish,"Romance, Science Fiction, Drama",English,"Canada, United States of America",,nan,,,,,,
Just the Two of Us,"Thriller, Drama, Romance",French,France,,nan,,,,,,
Aquaman: Heroines of Atlantis,Documentary,,,,nan,,,,,,
Preparations to Be Together for an Unknown Period of Time,Drama,"English, Hungarian",Hungary,,nan,,,,,,
Your Name Engraved Herein,"Romance, Drama","Mandarin, English","Taiwan, United States of America",,nan,,,,,,
